feature_name,group
ETHINYL ESTRADIOL_amount_mask,1
"ACETAMINOPHEN WITH CODEINE_quantity_value_(0.999, 20.0]",2
"ACETAMINOPHEN WITH CODEINE_quantity_value_(20.0, 30.0]",2
"ACETAMINOPHEN WITH CODEINE_quantity_value_(30.0, 40.0]",2
"ACETAMINOPHEN WITH CODEINE_quantity_value_(40.0, 600.0]",2
"ACETAMINOPHEN_amount_value_(-0.001, 1500.0]",3
"ACETAMINOPHEN_amount_value_(1500.0, 7000.0]",3
"ACETAMINOPHEN_amount_value_(7000.0, 10000.0]",3
"ACETAMINOPHEN_amount_value_(10000.0, 15080.0]",3
"ACETAMINOPHEN_amount_value_(15080.0, 60000003600.3]",3
"ACETAZOLAMIDE_quantity_value_(1.999, 14.0]",4
"ACETAZOLAMIDE_quantity_value_(14.0, 20.0]",4
"ACETAZOLAMIDE_quantity_value_(20.0, 30.0]",4
"ACETAZOLAMIDE_quantity_value_(30.0, 60.0]",4
"ACETAZOLAMIDE_quantity_value_(60.0, 270.0]",4
"ACYCLOVIR_amount_value_(-0.001, 0.75]",5
"ACYCLOVIR_amount_value_(0.75, 280.75]",5
"ACYCLOVIR_amount_value_(280.75, 2100.0]",5
"ACYCLOVIR_amount_value_(2100.0, 1680000000.0]",5
"ACYCLOVIR_quantity_value_(0.999, 15.0]",6
"ACYCLOVIR_quantity_value_(15.0, 28.0]",6
"ACYCLOVIR_quantity_value_(28.0, 30.0]",6
"ACYCLOVIR_quantity_value_(30.0, 60.0]",6
"ACYCLOVIR_quantity_value_(60.0, 540.0]",6
"ADALIMUMAB_quantity_value_(1.999, 4.0]",7
"ADALIMUMAB_quantity_value_(4.0, 12.0]",7
"ADAPALENE_amount_value_(-0.001, 0.045]",8
"ADAPALENE_amount_value_(0.045, 0.135]",8
"ADAPALENE_amount_value_(0.135, 450.0]",8
"ADAPALENE_amount_value_(450.0, 3006.4]",8
"ADAPALENE_amount_value_(3006.4, 841200.0]",8
"ADAPALENE_quantity_value_(44.999, 135.0]",9
"ALBUTEROL SULFATE_amount_value_(-0.001, 1.62]",10
"ALBUTEROL SULFATE_amount_value_(1.62, 300.0]",10
"ALBUTEROL SULFATE_amount_value_(300.0, 1200.0]",10
"ALBUTEROL SULFATE_amount_value_(1200.0, 3972.25]",10
"ALBUTEROL SULFATE_amount_value_(3972.25, 1680000030.0]",10
"ALBUTEROL SULFATE_quantity_value_(-0.001, 8.5]",11
"ALBUTEROL SULFATE_quantity_value_(8.5, 17.0]",11
"ALBUTEROL SULFATE_quantity_value_(17.0, 18.0]",11
"ALBUTEROL SULFATE_quantity_value_(18.0, 1620.0]",11
"ALBUTEROL_quantity_value_(16.999, 51.0]",12
"ALENDRONATE SODIUM_quantity_value_(1.999, 4.0]",13
"ALENDRONATE SODIUM_quantity_value_(4.0, 12.0]",13
"ALENDRONATE SODIUM_quantity_value_(12.0, 900.0]",13
"ALFUZOSIN HCL_quantity_value_(13.999, 30.0]",14
"ALFUZOSIN HCL_quantity_value_(30.0, 90.0]",14
"ALFUZOSIN HCL_quantity_value_(90.0, 104.0]",14
"ALLOPURINOL_quantity_value_(6.999, 30.0]",15
"ALLOPURINOL_quantity_value_(30.0, 60.0]",15
